"TEXT_ID","TYPE","TEXT","CHARACTER","EXPRESSION","SIDE","SOUND","CONSTRAINT","RYTHM"
"npc 1","TEXT","""Hello my friend.""","DENEA",,"LEFT","PURR",,
"npc 1","TEXT","""How do you fare so far ?""","DENEA",,"LEFT","PURR",,
"npc 1","TEXT","""Good and you ?""","SLIME_00","JOY","RIGHT",,,
"npc 1","TEXT","""...""","DENEA",,"LEFT",,,
"npc 1","TEXT","""I want to die.""","DENEA",,"LEFT","PURR","LVL>10",
,,,,,,,,
"npc 2","TEXT","""Hey darling.  Pret a vivre la Macarena du siecle ?""","DANCER",,"LEFT","LAUGH",,
"npc 2","TEXT","""...""",,,,,,
"npc 2","TEXT","""Oh la la, je plaisante !""","DANCER",,"LEFT","LAUGH",,
,,,,,,,,
"npc 3","TEXT","""Bubu gak dubu ?""","SLIME_01",,"LEFT","BUBBLES",,
"npc 3","OPTION","""choice 1""",,,,,,
"npc 3 | yes","TEXT","""Gak..""","SLIME_01","CRY","LEFT","BUBBLES",,
"npc 3 | no","TEXT","""Daba dub, dub !""","SLIME_01","SHY","LEFT","BUBBLES",,
"npc 4","BATTLE",,,,,,,
"npc 0","SCENE",,,,,,,
,,,,,,,,
,,,,,,,,
"mechant 1","TEXT","""Toi, la. Oui, toi... Tu pues du cul !""",,,,"LAUGH",,
"mechant 1","TEXT","""Je vais t'enculer !""","SLIME_00","ANGRY","RIGHT",,,
"mechant 1","BATTLE","""battle 1""",,,,,,
"mechant 2","TEXT","""Oh ca va, je rigolais...""",,,,,,
,,,,,,,,
"npc 1b","TEXT","""Salut, t'as l'ai costaud, je viens avec toi.""","DENEA",,"LEFT","PURR",,
"npc 1b","JOIN","""join 1""",,,,,,
"npc 2b","TEXT","""Oh.... Quels beaux pec ! Laisse moi t'accompagner !""","DANCER",,"LEFT","LAUGH",,
"npc 2b","JOIN","""join 2""",,,,,,
,,,,,,,,
"mechant 30","TEXT","""Toi, la. Oui, toi... Tu veux te batter ?""",,,,"LAUGH",,
"mechant 30","OPTION","""choice 30""",,,,,,
,,,,,,,,
,,,,,,,,
"mechant 30 | yes","BATTLE","""battle 1""",,,,,,
,,,,,,,,
"mechant 30 | no","TEXT","""Ah ok, loser.""",,,,,,
